Buffer Size,Compression Ratio,Compression Percentage
256,0.722044912059984,-38.49553999999999
512,0.8064693031976186,-23.99728000000001
1024,0.8907714650981488,-12.262240000000002
2048,0.9836838329988152,-1.6586800000000013
4096,1.0876398432928513,8.057800000000004
8192,1.1986851861929686,16.575260000000004
16384,1.3201909207301923,24.253380000000003
32768,1.4375288763613039,30.43618
