Test,Original Size,Compressed Size, Compression coefficient,Compression Time,Decompression Time,Total Time
HA,1935990,1688798,1.146,2603,2798,5401
RLE,1935990,1360028,1.423,1936,2748,4684
BWT+RLE,1935990,637155,3.038,3244,15609,18854
BWT+MTF+HA,1935990,397803,4.867,8046,21654,29701
BWT+MTF+RLE+HA,1935990,285931,6.771,8671,22155,30826
LZSS,1935990,955582,2.026,5518,4441,9959
LZSS+HA,1935990,603184,3.210,6319,5754,12073
LZW,1935990,803308,2.410,2756,3955,6711
LZW+HA,1935990,552976,3.501,3540,5153,8694
