Test,Original Size,Compressed Size, Compression coefficient,Compression Time,Decompression Time,Total Time
HA,2730287,1456270,1.875,2357,4070,6428
RLE,2730287,2734740,0.998,4150,4020,8170
BWT+RLE,2730287,1832012,1.490,3454,4367,7822
BWT+MTF+HA,2730287,975260,2.800,9287,12082,21370
BWT+MTF+RLE+HA,2730287,936872,2.914,11842,14170,26013
LZSS,2730287,1866724,1.463,10427,7117,17545
LZSS+HA,2730287,1273493,2.144,12697,10385,23083
LZW,2730287,1335644,2.044,3897,6073,9970
LZW+HA,2730287,941194,2.901,5401,8108,13510
