Test,Original Size,Compressed Size, Compression coefficient,Compression Time,Decompression Time,Total Time
HA,10000000,6412387,1.559,9957,14442,24399
RLE,10000000,10897730,0.918,15329,14128,29457
BWT+RLE,10000000,7218452,1.385,19142,108549,127691
BWT+MTF+HA,10000000,3135115,3.190,40885,143720,184605
BWT+MTF+RLE+HA,10000000,3363909,2.973,53165,150802,203967
LZSS,10000000,9194220,1.088,47224,29846,77070
LZSS+HA,10000000,6315870,1.583,58496,44037,102534
LZW,10000000,6199684,1.613,14810,23441,38252
LZW+HA,10000000,4715401,2.121,22983,33024,56007
