Test,Original Size,Compressed Size,Compression coefficient,Compression Time,Decompression Time,Total Time
HA,477078,271663,1.756,483,744,1228
RLE,477078,496638,0.961,753,749,1503
BWT+RLE,477078,362314,1.317,903,880,1784
BWT+MTF+HA,477078,144727,3.296,1726,2022,3749
BWT+MTF+RLE+HA,477078,160472,2.973,2233,2534,4768
LZSS,477078,421690,1.131,2165,2024,4189
LZSS+HA,477078,288561,1.653,2555,2009,4565
LZW,477078,361376,1.320,1019,1252,2271
LZW+HA,477078,224976,2.121,1078,1758,2836
