Test,Original Size,Compressed Size,Compression coefficient,Compression Time,Decompression Time,Total Time
HA,1935990,241999,8.000,508,2913,3422
RLE,1935990,21764,88.954,71,2951,3023
BWT+RLE,1935990,58374,33.165,11867,2959,14827
BWT+MTF+HA,1935990,250061,7.742,17264,7853,25118
BWT+MTF+RLE+HA,1935990,26844,72.120,16580,8069,24649
LZSS,1935990,430778,4.494,7009,3523,10532
LZSS+HA,1935990,168757,11.472,7233,4165,11398
LZW,1935990,26232,73.803,2793,2698,5491
LZW+HA,1935990,14834,130.510,3993,2706,6699
